"Submission Time","Quina edat tens?",Gènere,"Quin tipus de formació acadèmica tens?","Et consideres una persona feliç?","Has sofert mai una depressió?","Creus en l’amor a primera vista?","Quantes parelles estables creus que has tingut?","T’agrada més la muntanya o la platja?","Et consideres una persona puntual?","Actualment fas donatius a algun tipus d’entitat social?","Acostumes a donar diners a captaires?","Creus que l'us de la violència pot ser justificat?","Creus que la fi pot justificar els mitjans?","Quin barri barceloní dels següents preferiries viure?","Aturaries a un desconegut que s’anés a treure la vida?","Creus que pagues massa impostos?","Políticament, et consideres una persona de...","Al llarg d' una setmana et mastubes:","Prefereixes que el teu cap superior de feina sigui...","Prioritzes el plaer als diners?"
"4 May 2022 @ 17:15 PM","20 anys o menys",Home,"Ensenyament obligatori",Sí,No,No,1,Muntanya,Sí,No,Sí,No,Sí,"Poble nou",Sí,No,Esquerres,0,Indiferent,Sí
"4 May 2022 @ 17:14 PM","40 a 50",Home,"Títol universitari",Sí,No,Sí,"4 o més",Platja,Sí,No,No,Sí,No,Gràcia,Sí,No,Esquerres,"3 o més",Dona,Sí
"4 May 2022 @ 17:14 PM","60 a 70",Dona,"Títol universitari",Sí,No,Sí,1,Muntanya,Sí,Sí,No,No,Sí,Gràcia,No,No,Esquerres,1,Dona,Sí
"4 May 2022 @ 17:14 PM","60 a 70",Dona,"Títol universitari",Sí,Sí,Sí,"4 o més",Muntanya,Sí,Sí,Sí,No,Sí,"Poble nou",Sí,Sí,Esquerres,1,Dona,No
"4 May 2022 @ 17:13 PM","50 a 60 ",Home,Batxillerat,Sí,Sí,No,1,Platja,Sí,No,No,No,No,Gràcia,No,Sí,"No em defineixo",0,Indiferent,Sí
"4 May 2022 @ 17:13 PM","30 a 40",Dona,"Títol universitari",Sí,No,No,2,Platja,Sí,No,Sí,No,Sí,"Centre ciutat",Sí,No,Esquerres,0,Indiferent,Sí
"4 May 2022 @ 17:12 PM","40 a 50",Dona,"Títol universitari",Sí,Sí,Sí,"4 o més",Muntanya,Sí,Sí,No,No,Sí,"Cap dels anteriors",Sí,Sí,Esquerres,0,Indiferent,Sí
"4 May 2022 @ 17:11 PM","50 a 60 ",Home,"Títol universitari",Sí,Sí,No,3,Platja,No,Sí,Sí,No,No,"Cap dels anteriors",Sí,No,Esquerres,"3 o més",Indiferent,Sí
"4 May 2022 @ 17:11 PM","20 a 30",Home,"Títol universitari",Sí,Sí,No,1,Platja,No,No,No,Sí,No,Eixample,Sí,No,Esquerres,"3 o més",Dona,Sí
"4 May 2022 @ 17:11 PM","30 a 40",Home,"Mòdul professional",Sí,Sí,No,2,Muntanya,Sí,Sí,Sí,No,Sí,"Poble nou",No,No,Esquerres,2,Home,Sí
