"Submission Time","Quina edat tens?",Gènere,"Quin tipus de formació acadèmica tens?","Et consideres una persona feliç?","Has sofert mai una depressió?","Creus en l’amor a primera vista?","Quantes parelles estables creus que has tingut?","T’agrada més la muntanya o la platja?","Et consideres una persona puntual?","Actualment fas donatius a algun tipus d’entitat social?","Acostumes a donar diners a captaires?","Creus que l'us de la violència pot ser justificada?","Creus que la fi pot justificar els mitjans?","Quin barri barceloní dels següents preferiries viure?","Aturaries a un desconegut que s’anés a treure la vida?","Creus que pagues massa impostos?","Políticament, et consideres una persona de...","Al llarg d' una setmana et mastubes:","Prefereixes que el teu cap superior de feina sigui...","Prioritzes el plaer als diners?"
"22 Apr 2022 @ 08:55 AM",40-50,Dona,Batxillerat,No,Sí,No,2,Muntanya,Sí,No,No,No,Sí,Barceloneta,No,Sí,"Centre esquerre",0,Dona,No
"22 Apr 2022 @ 08:54 AM",30-40,Dona,"Mòdul professional",Sí,No,No,"4 o més",Muntanya,Sí,No,,Sí,Sí,"Centre ciutat",No,Sí,Esquerres,1,Dona,Sí
"22 Apr 2022 @ 08:54 AM","70 anys o més","No binari","Títol universitari",No,No,No,"4 o més",Platja,No,No,No,No,No,"Cap del anteriors",No,No,"No em defineixo","3 o més",Indiferent,No
"22 Apr 2022 @ 08:54 AM","70 anys o més",Home,"Mòdul professional",Sí,No,No,1,Platja,Sí,Sí,Sí,No,No,"Cap del anteriors",Sí,No,"No em defineixo",0,Dona,Sí
"22 Apr 2022 @ 08:54 AM","20 anys o menys",Home,"Ensenyament obligatori",Sí,Sí,Sí,1,Muntanya,Sí,Sí,Sí,Sí,Sí,"Poble Nou",Sí,Sí,Esquerres,0,Home,Sí
"22 Apr 2022 @ 08:53 AM",20-30,Home,Batxillerat,No,No,Sí,3,Muntanya,No,Sí,Sí,Sí,No,Gràcia,No,No,"No em defineixo","3 o més",Indiferent,No
"22 Apr 2022 @ 08:53 AM",20-30,Dona,"Títol universitari",Sí,No,Sí,2,Platja,No,No,No,Sí,Sí,Eixample,Sí,No,Centre,2,Dona,No
"22 Apr 2022 @ 08:52 AM",50-60,Dona,Batxillerat,Sí,No,No,3,Muntanya,No,No,No,No,Sí,"Centre ciutat",Sí,No,"Centre dreta",0,Indiferent,Sí
"22 Apr 2022 @ 08:52 AM","70 anys o més","No binari","Ensenyament obligatori",Sí,Sí,No,"4 o més",Platja,Sí,No,No,No,Sí,"Poble Nou",Sí,No,"Centre esquerre","3 o més",Dona,Sí
"22 Apr 2022 @ 08:52 AM","20 anys o menys",Dona,Batxillerat,No,Sí,Sí,"4 o més",Muntanya,No,No,No,Sí,Sí,"Poble Nou",Sí,No,Esquerres,"3 o més",Dona,Sí
"22 Apr 2022 @ 08:51 AM",20-30,Home,"Mòdul professional",No,Sí,Sí,"4 o més",Platja,No,Sí,No,Sí,No,Eixample,Sí,No,"Centre dreta","3 o més",Indiferent,Sí
"22 Apr 2022 @ 08:51 AM",40-50,Home,Batxillerat,Sí,Sí,Sí,3,Platja,Sí,No,Sí,No,No,Eixample,Sí,No,Dretes,1,Home,Sí
"22 Apr 2022 @ 08:51 AM",60-70,Dona,"Mòdul professional",Sí,No,No,3,Muntanya,No,No,No,Sí,No,"Poble Nou",Sí,No,"Centre esquerre",2,Home,No
"22 Apr 2022 @ 08:50 AM","70 anys o més",Dona,"Ensenyament obligatori",Sí,No,No,"4 o més",Muntanya,Sí,No,Sí,No,Sí,"Cap del anteriors",Sí,No,Esquerres,2,Indiferent,Sí
"22 Apr 2022 @ 08:50 AM","20 anys o menys","No binari","Ensenyament obligatori",Sí,No,No,1,Platja,Sí,No,Sí,No,Sí,"Cap del anteriors",Sí,Sí,Esquerres,"3 o més",Indiferent,Sí
"22 Apr 2022 @ 08:49 AM","70 anys o més",Home,"Títol universitari",Sí,No,Sí,3,Muntanya,No,No,Sí,No,No,Gràcia,Sí,No,"Centre esquerre","3 o més",Dona,Sí
"22 Apr 2022 @ 08:49 AM",30-40,Home,"Mòdul professional",,Sí,No,3,Platja,Sí,No,No,Sí,No,Barceloneta,No,Sí,"Centre esquerre",2,Dona,No
"22 Apr 2022 @ 08:49 AM",50-60,"No binari","Títol universitari",Sí,No,No,"4 o més",Muntanya,No,Sí,Sí,No,No,"Cap del anteriors",Sí,No,"No em defineixo","3 o més",Indiferent,Sí
"22 Apr 2022 @ 08:48 AM",30-40,Dona,"Mòdul professional",No,Sí,Sí,"4 o més",Platja,No,No,No,No,Sí,"Cap del anteriors",,,"No em defineixo","3 o més",Indiferent,Sí
"22 Apr 2022 @ 08:48 AM",30-40,Dona,"Mòdul professional",Sí,No,No,1,Platja,Sí,Sí,No,No,Sí,Gràcia,Sí,No,Esquerres,2,Dona,Sí
"22 Apr 2022 @ 08:47 AM","20 anys o menys",Home,Batxillerat,No,Sí,No,3,Muntanya,No,Sí,Sí,No,Sí,Barceloneta,Sí,Sí,"Centre esquerre",1,Indiferent,No
"8 Apr 2022 @ 11:57 AM",30-40,Dona,"Mòdul professional",No,Sí,Sí,3,Platja,No,No,Sí,Sí,No,Barceloneta,No,Sí,Esquerres,0,Dona,No
"8 Apr 2022 @ 11:55 AM",20-30,Dona,"Títol universitari",Sí,Sí,Sí,1,Muntanya,Sí,Sí,Sí,Sí,Sí,"Poble Nou",Sí,Sí,Esquerres,0,Home,Sí
"8 Apr 2022 @ 11:48 AM","20 anys o menys","No binari","Títol universitari",,,,,,,,Sí,No,No,Gracía,No,No,,0,Indiferent,No
"8 Apr 2022 @ 11:18 AM",,,,,,,,,,,,,,,,,,,,
