"Submission Time","Quina edat tens?",Gènere,"Quin tipus de formació acadèmica tens?","Et consideres una persona feliç?","Has sofert mai una depressió?","Creus en l’amor a primera vista?","Quantes parelles estables creus que has tingut?","T’agrada més la muntanya o la platja?","Et consideres una persona puntual?","Actualment fas donatius a algun tipus d’entitat social?","Acostumes a donar diners a captaires?","Creus que l'us de la violència pot ser justificat?","Creus que la fi pot justificar els mitjans?","Quin barri barceloní dels següents preferiries viure?","Aturaries a un desconegut que s’anés a treure la vida?","Creus que pagues massa impostos?","Políticament, et consideres una persona de...","Al llarg d' una setmana et mastubes:","Prefereixes que el teu cap superior de feina sigui...","Prioritzes el plaer als diners?"
"3 May 2022 @ 16:10 PM","40 a 50",Dona,"Títol universitari",Sí,Sí,Sí,3,Muntanya,No,Sí,No,Sí,Sí,Gràcia,Sí,Sí,Esquerres,0,Indiferent,Sí
"3 May 2022 @ 16:10 PM","20 a 30",Home,"Títol universitari",Sí,Sí,No,,Muntanya,No,Sí,No,No,Sí,Eixample,Sí,No,"Centre esquerra","3 o més",Indiferent,Sí
"3 May 2022 @ 16:10 PM","50 a 60 ",Dona,"Títol universitari",Sí,No,Sí,3,Platja,No,Sí,No,No,No,Barceloneta,Sí,Sí,"No em defineixo",0,Indiferent,Sí
"3 May 2022 @ 16:09 PM","50 a 60 ",Home,"Títol universitari",Sí,No,Sí,2,Muntanya,Sí,Sí,No,Sí,No,Gràcia,Sí,No,Esquerres,"3 o més",Indiferent,Sí
"3 May 2022 @ 16:09 PM","20 a 30",Dona,"Títol universitari",Sí,No,Sí,1,Platja,No,No,No,No,Sí,"Poble nou",Sí,Sí,Esquerres,"3 o més",Indiferent,Sí
"3 May 2022 @ 16:09 PM","60 a 70",Home,Batxillerat,Sí,No,Sí,2,Muntanya,Sí,Sí,No,Sí,Sí,"Cap dels anteriors",Sí,Sí,Esquerres,1,Indiferent,Sí
"3 May 2022 @ 16:09 PM","20 anys o menys",Dona,"Títol universitari",Sí,Sí,Sí,2,Platja,Sí,No,No,No,Sí,Gràcia,Sí,Sí,Esquerres,2,Dona,Sí
"3 May 2022 @ 16:09 PM","60 a 70",Home,"Títol universitari",No,Sí,No,2,Muntanya,Sí,Sí,Sí,Sí,No,"Cap dels anteriors",Sí,No,Esquerres,"3 o més",Indiferent,No
"3 May 2022 @ 16:09 PM","20 anys o menys",Dona,Batxillerat,Sí,No,No,1,Muntanya,Sí,No,No,No,Sí,Gràcia,Sí,Sí,Esquerres,2,Dona,Sí
"3 May 2022 @ 16:09 PM","20 anys o menys",Dona,Batxillerat,Sí,Sí,No,1,Platja,Sí,Sí,No,No,No,Eixample,Sí,Sí,"Centre esquerra",2,Dona,Sí
"3 May 2022 @ 16:09 PM","20 a 30",Dona,"Títol universitari",Sí,Sí,No,3,Muntanya,No,No,Sí,No,No,Gràcia,Sí,No,Esquerres,1,Dona,Sí
"3 May 2022 @ 16:08 PM","30 a 40",Dona,"Títol universitari",Sí,,Sí,2,Platja,No,No,No,Sí,No,"Poble nou",Sí,Sí,Esquerres,2,Dona,Sí
"3 May 2022 @ 16:08 PM","20 a 30",Dona,"Títol universitari",Sí,No,Sí,1,Platja,Sí,Sí,Sí,Sí,Sí,"Cap dels anteriors",Sí,Sí,"Centre esquerra",0,Dona,Sí
"3 May 2022 @ 16:08 PM","30 a 40",Home,"Títol universitari",Sí,Sí,No,2,Muntanya,Sí,Sí,Sí,No,Sí,"Poble nou",No,No,"Centre esquerra",1,Dona,Sí
"3 May 2022 @ 16:01 PM","70 o més","No binari","Mòdul professional",No,No,No,"4 o més",Muntanya,No,No,No,Sí,Sí,"Cap dels anteriors",No,No,Dretes,0,Home,Sí
"3 May 2022 @ 15:59 PM","40 a 50",Home,"Títol universitari",Sí,Sí,Sí,3,Platja,Sí,Sí,Sí,Sí,No,Eixample,Sí,Sí,Esquerres,"3 o més",Indiferent,Sí
